"dv","term","outcome_level","estimate","conf.low","conf.high","p.value","sig"
"Trust not to cheat system","ideo_right_num","0.33",0.324,0.268,0.38,0,"***"
"Trust not to cheat system","ideo_right_num","0.66",-0.173,-0.208,-0.137,0,"***"
"Trust not to cheat system","ideo_right_num","1",-0.283,-0.336,-0.23,0,"***"
"Trust not to cheat system","incomeHigh_bin","0",0.017,0.001,0.034,0.034,"*"
"Trust not to cheat system","incomeHigh_bin","0.33",0.04,0.006,0.073,0.021,"*"
"Trust not to cheat system","incomeHigh_bin","0.66",-0.024,-0.046,-0.001,0.038,"*"
"Trust not to cheat system","incomeHigh_bin","1",-0.033,-0.06,-0.006,0.016,"*"
"Trust not to cheat system","quebec_bin","0",0.021,-0.006,0.048,0.122,""
"Trust not to cheat system","quebec_bin","0.33",0.049,-0.008,0.105,0.09,"."
"Trust not to cheat system","quebec_bin","0.66",-0.029,-0.066,0.008,0.127,""
"Trust not to cheat system","quebec_bin","1",-0.041,-0.087,0.005,0.082,"."
"Trust not to cheat system","region_eastcoast_bin","0",0.003,-0.011,0.018,0.649,""
"Trust not to cheat system","region_eastcoast_bin","0.33",0.008,-0.027,0.043,0.645,""
"Trust not to cheat system","region_eastcoast_bin","0.66",-0.004,-0.024,0.015,0.651,""
"Trust not to cheat system","region_eastcoast_bin","1",-0.007,-0.037,0.023,0.643,""
"Trust not to cheat system","ses_age","0",0,-0.001,0,0.034,"*"
"Trust not to cheat system","ses_age","0.33",-0.001,-0.002,0,0.032,"*"
"Trust not to cheat system","ses_age","0.66",0,0,0.001,0.033,"*"
"Trust not to cheat system","ses_age","1",0.001,0,0.001,0.032,"*"
"Trust not to cheat system","ses_citizenYes_bin","0",0.009,-0.004,0.022,0.17,""
"Trust not to cheat system","ses_citizenYes_bin","0.33",0.024,-0.012,0.059,0.188,""
"Trust not to cheat system","ses_citizenYes_bin","0.66",-0.012,-0.028,0.004,0.152,""
"Trust not to cheat system","ses_citizenYes_bin","1",-0.021,-0.054,0.011,0.2,""
"Trust not to cheat system","ses_french_bin","0",0.005,-0.017,0.027,0.668,""
"Trust not to cheat system","ses_french_bin","0.33",0.012,-0.041,0.065,0.663,""
"Trust not to cheat system","ses_french_bin","0.66",-0.006,-0.036,0.023,0.672,""
"Trust not to cheat system","ses_french_bin","1",-0.01,-0.056,0.035,0.66,""
"Trust not to cheat system","ses_male_bin","0",0.009,-0.001,0.02,0.079,"."
"Trust not to cheat system","ses_male_bin","0.33",0.023,-0.003,0.049,0.077,"."
"Trust not to cheat system","ses_male_bin","0.66",-0.012,-0.026,0.001,0.077,"."
"Trust not to cheat system","ses_male_bin","1",-0.02,-0.043,0.002,0.078,"."
"Trust not to cheat system","trust_social_bin","0",-0.055,-0.066,-0.043,0,"***"
"Trust not to cheat system","trust_social_bin","0.33",-0.151,-0.179,-0.123,0,"***"
"Trust not to cheat system","trust_social_bin","0.66",0.081,0.063,0.099,0,"***"
"Trust not to cheat system","trust_social_bin","1",0.124,0.101,0.148,0,"***"
"Trust not to cheat system","univ_educ_bin","0",-0.007,-0.017,0.004,0.213,""
"Trust not to cheat system","univ_educ_bin","0.33",-0.017,-0.043,0.01,0.213,""
"Trust not to cheat system","univ_educ_bin","0.66",0.009,-0.005,0.023,0.217,""
"Trust not to cheat system","univ_educ_bin","1",0.015,-0.008,0.037,0.211,""
