"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","battery","battery_title"
"cc1_pref_logit","Increase debt","age18_34_bin",2057,0.052,-0.006,0.11,0.078,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","age55plus_bin",2057,-0.04,-0.094,0.014,0.151,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","alberta_bin",2057,-0.023,-0.079,0.032,0.41,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","children_bin",2057,0.014,-0.03,0.058,0.54,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","employ_fulltime_bin",2057,0.018,-0.029,0.064,0.456,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_define_QC_first_bin",2057,0.066,-0.018,0.151,0.122,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_right_num",2057,-0.157,-0.259,-0.055,0.002,"**","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_vote_fed_left",2057,-0.072,-0.172,0.027,0.155,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ideo_vote_prov_left",2057,0.08,0.021,0.138,0.007,"**","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","incomeHigh_bin",2057,-0.028,-0.08,0.025,0.302,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","quebec_bin",2057,-0.006,-0.07,0.058,0.852,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","region_eastcoast_bin",2057,-0.036,-0.09,0.019,0.199,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","ses_male_bin",2057,-0.019,-0.06,0.022,0.36,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","trust_inst_fed_bin",2057,0.064,0.01,0.119,0.021,"*","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","trust_inst_prov_bin",2057,0.001,-0.053,0.056,0.958,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","univ_educ_bin",2057,0.01,-0.031,0.051,0.64,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","vote_PCC_bin",2057,-0.121,-0.177,-0.065,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","Increase debt","vote_PLC_bin",2057,0.014,-0.039,0.067,0.602,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","age18_34_bin",2058,-0.152,-0.21,-0.093,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","age55plus_bin",2058,-0.048,-0.104,0.008,0.091,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","alberta_bin",2058,0.024,-0.036,0.084,0.431,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","children_bin",2058,-0.121,-0.167,-0.074,0,"***","Negative","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","employ_fulltime_bin",2058,-0.01,-0.059,0.038,0.679,"","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_define_QC_first_bin",2058,-0.071,-0.154,0.012,0.094,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_right_num",2058,0.314,0.205,0.423,0,"***","Positive","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_vote_fed_left",2058,-0.095,-0.205,0.016,0.093,".","No clear effect","cc1","Increase childcare spending, how to fund it"
"cc1_pref_logit","No increase, regardless of implications for issue","ideo_vote_prov_left",2058,-0.052,-0.116,0.011,0.106,"","No clear effect","cc1","Increase childcare spending, how to fund it"
