"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_logit","Subsidized child care","ideo_vote_prov_left",2059,-0.023,-0.066,0.02,0.292,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","incomeHigh_bin",2059,-0.033,-0.068,0.002,0.066,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","quebec_bin",2059,-0.016,-0.06,0.027,0.46,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","region_eastcoast_bin",2059,-0.021,-0.058,0.017,0.286,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ses_male_bin",2059,0.025,-0.005,0.054,0.097,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","trust_inst_fed_bin",2059,-0.018,-0.057,0.021,0.359,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","trust_inst_prov_bin",2059,-0.013,-0.052,0.026,0.511,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","univ_educ_bin",2059,-0.013,-0.043,0.017,0.402,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","vote_PCC_bin",2059,-0.044,-0.081,-0.008,0.018,"*","Negative","Logit AME"
"prio_pref_logit","Subsidized child care","vote_PLC_bin",2059,-0.029,-0.066,0.008,0.123,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age18_34_bin",2059,0.025,-0.027,0.077,0.343,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age55plus_bin",2059,-0.023,-0.071,0.026,0.362,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","alberta_bin",2059,-0.02,-0.066,0.026,0.398,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","children_bin",2059,0.007,-0.033,0.047,0.731,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","employ_fulltime_bin",2059,0.06,0.016,0.103,0.007,"**","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_define_QC_first_bin",2059,-0.038,-0.119,0.043,0.353,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_right_num",2059,0.117,0.024,0.21,0.013,"*","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_vote_fed_left",2059,-0.052,-0.149,0.046,0.297,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_vote_prov_left",2059,-0.067,-0.121,-0.013,0.014,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","incomeHigh_bin",2059,0.019,-0.031,0.068,0.457,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","quebec_bin",2059,-0.108,-0.158,-0.059,0,"***","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","region_eastcoast_bin",2059,-0.049,-0.094,-0.004,0.031,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ses_male_bin",2059,0.08,0.042,0.117,0,"***","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","trust_inst_fed_bin",2059,0.038,-0.012,0.088,0.14,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","trust_inst_prov_bin",2059,-0.001,-0.049,0.047,0.952,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","univ_educ_bin",2059,0.013,-0.025,0.05,0.505,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PCC_bin",2059,0.007,-0.046,0.059,0.807,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PLC_bin",2059,0.016,-0.039,0.072,0.562,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age18_34_bin",2058,0.033,-0.015,0.08,0.177,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age55plus_bin",2058,-0.04,-0.083,0.003,0.069,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","alberta_bin",2058,-0.04,-0.084,0.003,0.07,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","children_bin",2058,-0.045,-0.081,-0.01,0.012,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","employ_fulltime_bin",2058,0.036,-0.001,0.073,0.057,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_define_QC_first_bin",2058,0.048,-0.021,0.118,0.173,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_right_num",2058,-0.109,-0.195,-0.022,0.014,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_vote_fed_left",2058,-0.005,-0.077,0.067,0.89,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_vote_prov_left",2058,0.089,0.042,0.135,0,"***","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","incomeHigh_bin",2058,-0.015,-0.056,0.027,0.486,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","quebec_bin",2058,-0.01,-0.058,0.039,0.699,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","region_eastcoast_bin",2058,-0.045,-0.086,-0.003,0.035,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","ses_male_bin",2058,0.053,0.02,0.086,0.002,"**","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","trust_inst_fed_bin",2058,0.004,-0.038,0.047,0.836,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","trust_inst_prov_bin",2058,0.029,-0.018,0.075,0.224,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","univ_educ_bin",2058,0.038,0.004,0.071,0.029,"*","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PCC_bin",2058,-0.108,-0.148,-0.068,0,"***","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PLC_bin",2058,-0.044,-0.083,-0.005,0.029,"*","Negative","Logit AME"
"prio_pref_lpm","Healthcare access","age18_34_bin",2059,-0.07,-0.127,-0.014,0.015,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","age55plus_bin",2059,0,-0.053,0.053,0.999,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","alberta_bin",2059,-0.004,-0.06,0.052,0.889,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","children_bin",2059,0.006,-0.037,0.05,0.781,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","employ_fulltime_bin",2059,0.004,-0.041,0.049,0.86,"","No clear effect","LPM"
