"dv","model_type","r_squared","adj_r_sq","n","battery","pseudo_r2"
"Target education quality for all, reduce other family benefits","OLS_raw",0.024,0.016,2034,"cc2",NA
"Target education quality for low-income","OLS_raw",0.022,0.014,2034,"cc2",NA
"Increase child care for all, reduce other family benefits","Logit_pref",NA,NA,2114,"cc2",0.014
"Target low-income families, childcare","Logit_pref",NA,NA,2114,"cc2",0.015
"Target education quality for all, reduce other family benefits","Logit_pref",NA,NA,2116,"cc2",0.019
"Target education quality for low-income","Logit_pref",NA,NA,2116,"cc2",0.011
"Increase child care for all, reduce other family benefits","Logit_intense",NA,NA,2089,"cc2",0.042
"Target low-income families, childcare","Logit_intense",NA,NA,2089,"cc2",0.034
"Target education quality for all, reduce other family benefits","Logit_intense",NA,NA,2091,"cc2",0.043
"Target education quality for low-income","Logit_intense",NA,NA,2091,"cc2",0.024
"Increase child care for all, reduce other family benefits","LPM_pref",0.02,0.011,2057,"cc2",NA
"Target low-income families, childcare","LPM_pref",0.02,0.011,2057,"cc2",NA
"Target education quality for all, reduce other family benefits","LPM_pref",0.025,0.017,2059,"cc2",NA
"Target education quality for low-income","LPM_pref",0.015,0.006,2059,"cc2",NA
"Increase child care for all, reduce other family benefits","LPM_intense",0.023,0.015,2032,"cc2",NA
"Target low-income families, childcare","LPM_intense",0.016,0.008,2032,"cc2",NA
"Target education quality for all, reduce other family benefits","LPM_intense",0.021,0.013,2034,"cc2",NA
"Target education quality for low-income","LPM_intense",0.009,0,2034,"cc2",NA
