"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"intense_logit","Social policy composite (intense)","ses_male_bin",2050,-0.011,-0.039,0.017,0.443,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","trust_inst_fed_bin",2050,-0.042,-0.075,-0.009,0.013,"*","Negative","Logit AME"
"intense_logit","Social policy composite (intense)","trust_inst_prov_bin",2050,-0.016,-0.052,0.02,0.379,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","univ_educ_bin",2050,-0.019,-0.046,0.008,0.168,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","vote_PCC_bin",2050,0.022,-0.02,0.063,0.315,"","No clear effect","Logit AME"
"intense_logit","Social policy composite (intense)","vote_PLC_bin",2050,0.009,-0.031,0.049,0.669,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","age18_34_bin",2032,-0.002,-0.043,0.04,0.927,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","age55plus_bin",2032,0.042,0.006,0.078,0.022,"*","Positive","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","alberta_bin",2032,0.017,-0.023,0.057,0.403,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","children_bin",2032,0.024,-0.008,0.056,0.138,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","employ_fulltime_bin",2032,-0.017,-0.048,0.015,0.301,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","ideo_define_QC_first_bin",2032,0.018,-0.038,0.075,0.529,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","ideo_right_num",2032,-0.013,-0.086,0.06,0.729,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","ideo_vote_fed_left",2032,0.052,-0.018,0.123,0.148,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","ideo_vote_prov_left",2032,-0.007,-0.05,0.036,0.758,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","incomeHigh_bin",2032,-0.014,-0.05,0.022,0.45,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","quebec_bin",2032,0.007,-0.037,0.052,0.742,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","region_eastcoast_bin",2032,-0.041,-0.076,-0.007,0.019,"*","Negative","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","ses_male_bin",2032,0.018,-0.01,0.047,0.212,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","trust_inst_fed_bin",2032,-0.023,-0.059,0.012,0.204,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","trust_inst_prov_bin",2032,-0.008,-0.046,0.029,0.659,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","univ_educ_bin",2032,-0.012,-0.04,0.017,0.415,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","vote_PCC_bin",2032,-0.012,-0.054,0.029,0.561,"","No clear effect","Logit AME"
"intense_logit","Childcare: narrow beneficiaries (intense)","vote_PLC_bin",2032,-0.018,-0.053,0.017,0.315,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","age18_34_bin",2034,0,-0.039,0.04,0.995,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","age55plus_bin",2034,0.011,-0.026,0.047,0.572,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","alberta_bin",2034,0.031,-0.012,0.074,0.16,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","children_bin",2034,0.004,-0.027,0.034,0.82,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","employ_fulltime_bin",2034,0,-0.034,0.034,0.988,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","ideo_define_QC_first_bin",2034,-0.055,-0.099,-0.011,0.013,"*","Negative","Logit AME"
"intense_logit","Home care for all seniors (intense)","ideo_right_num",2034,-0.019,-0.09,0.052,0.6,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","ideo_vote_fed_left",2034,0.027,-0.048,0.103,0.477,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","ideo_vote_prov_left",2034,-0.032,-0.076,0.013,0.16,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","incomeHigh_bin",2034,0.071,0.026,0.117,0.002,"**","Positive","Logit AME"
"intense_logit","Home care for all seniors (intense)","quebec_bin",2034,0.018,-0.031,0.068,0.467,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","region_eastcoast_bin",2034,0.022,-0.022,0.066,0.326,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","ses_male_bin",2034,-0.012,-0.04,0.017,0.43,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","trust_inst_fed_bin",2034,-0.038,-0.075,-0.002,0.04,"*","Negative","Logit AME"
"intense_logit","Home care for all seniors (intense)","trust_inst_prov_bin",2034,-0.003,-0.041,0.035,0.884,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","univ_educ_bin",2034,0.018,-0.012,0.047,0.238,"","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","vote_PCC_bin",2034,0.046,0,0.092,0.049,"*","No clear effect","Logit AME"
"intense_logit","Home care for all seniors (intense)","vote_PLC_bin",2034,-0.014,-0.055,0.026,0.484,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","age18_34_bin",2034,0,-0.039,0.04,0.995,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","age55plus_bin",2034,0.011,-0.026,0.047,0.572,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","alberta_bin",2034,0.031,-0.012,0.074,0.16,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","children_bin",2034,0.004,-0.027,0.034,0.82,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","employ_fulltime_bin",2034,0,-0.034,0.034,0.988,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","ideo_define_QC_first_bin",2034,-0.055,-0.099,-0.011,0.013,"*","Negative","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","ideo_right_num",2034,-0.019,-0.09,0.052,0.6,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","ideo_vote_fed_left",2034,0.027,-0.048,0.103,0.477,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","ideo_vote_prov_left",2034,-0.032,-0.076,0.013,0.16,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","incomeHigh_bin",2034,0.071,0.026,0.117,0.002,"**","Positive","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","quebec_bin",2034,0.018,-0.031,0.068,0.467,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","region_eastcoast_bin",2034,0.022,-0.022,0.066,0.326,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","ses_male_bin",2034,-0.012,-0.04,0.017,0.43,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","trust_inst_fed_bin",2034,-0.038,-0.075,-0.002,0.04,"*","Negative","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","trust_inst_prov_bin",2034,-0.003,-0.041,0.035,0.884,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","univ_educ_bin",2034,0.018,-0.012,0.047,0.238,"","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","vote_PCC_bin",2034,0.046,0,0.092,0.049,"*","No clear effect","Logit AME"
"intense_logit","Home care: broad beneficiaries (intense)","vote_PLC_bin",2034,-0.014,-0.055,0.026,0.484,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","age18_34_bin",2032,0.007,-0.038,0.053,0.751,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","age55plus_bin",2032,0.004,-0.038,0.046,0.842,"","No clear effect","Logit AME"
"intense_logit","Income tax increase (intense)","alberta_bin",2032,0.011,-0.034,0.056,0.641,"","No clear effect","Logit AME"
