"question","dv","term","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_logit","Subsidized child care","vote_PCC_bin",-0.037,-0.075,0,0.052,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","vote_PLC_bin",-0.044,-0.078,-0.009,0.013,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age18_34_bin",0.029,-0.024,0.082,0.287,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age55plus_bin",-0.025,-0.074,0.024,0.31,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","alberta_bin",-0.018,-0.065,0.029,0.451,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","children_bin",0.01,-0.031,0.05,0.645,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","employ_fulltime_bin",0.055,0.012,0.099,0.013,"*","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_define_QC_first_bin",-0.021,-0.108,0.066,0.64,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_right_num",0.159,0.068,0.251,0.001,"**","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","incomeHigh_bin",0.013,-0.038,0.063,0.619,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","quebec_bin",-0.039,-0.119,0.041,0.336,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","region_eastcoast_bin",-0.042,-0.089,0.005,0.078,".","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ses_citizenYes_bin",0.008,-0.041,0.058,0.738,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ses_french_bin",-0.09,-0.159,-0.021,0.011,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ses_male_bin",0.089,0.052,0.127,0,"***","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","univ_educ_bin",0.011,-0.027,0.049,0.573,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PCC_bin",0.002,-0.051,0.055,0.938,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PLC_bin",0.005,-0.044,0.054,0.842,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age18_34_bin",0.038,-0.011,0.088,0.128,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age55plus_bin",-0.042,-0.087,0.003,0.067,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","alberta_bin",-0.041,-0.086,0.003,0.069,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","children_bin",-0.045,-0.082,-0.008,0.017,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","employ_fulltime_bin",0.039,0.001,0.077,0.045,"*","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_define_QC_first_bin",0.039,-0.03,0.109,0.27,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_right_num",-0.14,-0.229,-0.051,0.002,"**","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","incomeHigh_bin",-0.013,-0.056,0.031,0.57,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","quebec_bin",-0.051,-0.118,0.015,0.132,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","region_eastcoast_bin",-0.055,-0.097,-0.013,0.011,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","ses_citizenYes_bin",-0.009,-0.058,0.039,0.713,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ses_french_bin",0.046,-0.029,0.122,0.228,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ses_male_bin",0.055,0.021,0.089,0.001,"**","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","univ_educ_bin",0.053,0.018,0.087,0.003,"**","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PCC_bin",-0.124,-0.164,-0.085,0,"***","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PLC_bin",-0.037,-0.076,0.002,0.062,".","No clear effect","Logit AME"
"prio_pref_lpm","Healthcare access","age18_34_bin",-0.07,-0.128,-0.012,0.017,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","age55plus_bin",0.016,-0.038,0.07,0.557,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","alberta_bin",0.002,-0.055,0.06,0.941,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","children_bin",0.01,-0.034,0.054,0.664,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","employ_fulltime_bin",0.007,-0.038,0.053,0.755,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_define_QC_first_bin",0.021,-0.062,0.103,0.621,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_right_num",-0.133,-0.237,-0.03,0.012,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","incomeHigh_bin",-0.037,-0.094,0.019,0.196,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","quebec_bin",0.05,-0.049,0.15,0.324,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","region_eastcoast_bin",0.056,0,0.112,0.05,".","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ses_citizenYes_bin",-0.082,-0.137,-0.027,0.004,"**","Negative","LPM"
"prio_pref_lpm","Healthcare access","ses_french_bin",-0.029,-0.121,0.064,0.544,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ses_male_bin",-0.087,-0.128,-0.047,0,"***","Negative","LPM"
"prio_pref_lpm","Healthcare access","univ_educ_bin",-0.023,-0.064,0.018,0.272,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","vote_PCC_bin",-0.003,-0.061,0.055,0.917,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","vote_PLC_bin",-0.015,-0.066,0.036,0.564,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","age18_34_bin",-0.027,-0.08,0.027,0.327,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","age55plus_bin",0.034,-0.018,0.086,0.2,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","alberta_bin",-0.045,-0.099,0.009,0.104,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","children_bin",-0.028,-0.071,0.015,0.202,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","employ_fulltime_bin",0.04,-0.004,0.083,0.074,".","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_define_QC_first_bin",-0.029,-0.111,0.054,0.496,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_right_num",0.096,0,0.191,0.049,"*","No clear effect","LPM"
